"RateCardId","Service","ZoneFrom","ZoneTo","EffectiveDate","CalcMethod","Reciprocal","Accumulative","CubicRate","Minimum","ExcessCharge","ExcessLimit","TaxCode","Type1","Break1","Basic1","Rate1","Type2","Break2","Basic2","Rate2","Type3","Break3","Basic3","Rate3","Type4","Break4","Basic4","Rate4","Type5","Break5","Basic5","Rate5","Type6","Break6","Basic6","Rate6","Type7","Break7","Basic7","Rate7","Type8","Break8","Basic8","Rate8","Type9","Break9","Basic9","Rate9","Type10","Break10","Basic10","Rate10","Fee1","Fee2","ETADays"
"222496","G","ADL","ASP","2023-04-27 00:00:00","B&K","false","false","333","41.81","ITM","0","GST","KG","100","16.25","0.421","KG","500","16.25","0.308","KG","1500","16.25","0.267","KG","3000","16.25","0.232","KG","5000","16.25","0.227","KG","10000","16.25","0.205","KG","999999","16.25","0.191","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
"222497","G","ADL","BNE","2023-04-27 00:00:00","B&K","false","false","333","41.46","ITM","0","GST","KG","100","16.12","0.516","KG","500","16.12","0.305","KG","1500","16.12","0.294","KG","3000","16.12","0.289","KG","5000","16.12","0.284","KG","10000","16.12","0.276","KG","999999","16.12","0.265","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
"222498","G","ADL","BNH","2023-04-27 00:00:00","B&K","false","false","333","29.96","ITM","0","GST","KG","100","19.58","0.492","KG","500","19.58","0.447","KG","1500","19.58","0.416","KG","3000","19.58","0.261","KG","5000","19.58","0.256","KG","10000","19.58","0.226","KG","999999","19.58","0.21","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
"222499","G","ADL","BRM","2023-04-27 00:00:00","B&K","false","false","333","41.46","ITM","0","GST","KG","100","16.12","1.143","KG","500","16.12","0.962","KG","1500","16.12","0.829","KG","3000","16.12","0.79","KG","5000","16.12","0.774","KG","10000","16.12","0.698","KG","999999","16.12","0.584","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
"222500","G","ADL","CNS","2023-04-27 00:00:00","B&K","false","false","333","41.46","ITM","0","GST","KG","100","16.12","0.962","KG","500","16.12","0.836","KG","1500","16.12","0.634","KG","3000","16.12","0.62","KG","5000","16.12","0.576","KG","10000","16.12","0.553","KG","999999","16.12","0.518","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
"222501","G","ADL","DWN","2023-04-27 00:00:00","B&K","false","false","333","39.64","ITM","0","GST","KG","100","14.73","0.419","KG","500","14.73","0.419","KG","1500","14.73","0.3398","KG","3000","14.73","0.3171","KG","5000","14.73","0.2945","KG","10000","14.73","0.2831","KG","999999","14.73","0.2831","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
"222502","G","ADL","KAT","2023-04-27 00:00:00","B&K","false","false","333","41.46","ITM","0","GST","KG","100","16.12","0.516","KG","500","16.12","0.418","KG","1500","16.12","0.361","KG","3000","16.12","0.34","KG","5000","16.12","0.334","KG","10000","16.12","0.312","KG","999999","16.12","0.298","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
"222503","G","ADL","MEL","2023-04-27 00:00:00","B&K","false","false","333","41.46","ITM","0","GST","KG","100","16.12","0.32","KG","500","16.12","0.181","KG","1500","16.12","0.157","KG","3000","16.12","0.144","KG","5000","16.12","0.132","KG","10000","16.12","0.131","KG","999999","16.12","0.127","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
"222504","G","ADL","MGA","2023-04-27 00:00:00","B&K","false","false","333","29.96","ITM","0","GST","KG","100","19.58","0.425","KG","500","19.58","0.387","KG","1500","19.58","0.286","KG","3000","19.58","0.196","KG","5000","19.58","0.192","KG","10000","19.58","0.151","KG","999999","19.58","0.123","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
"222505","G","ADL","MKY","2023-04-27 00:00:00","B&K","false","false","333","41.46","ITM","0","GST","KG","100","16.12","0.907","KG","500","16.12","0.752","KG","1500","16.12","0.599","KG","3000","16.12","0.584","KG","5000","16.12","0.518","KG","10000","16.12","0.495","KG","999999","16.12","0.449","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
"222506","G","ADL","PLO","2023-04-27 00:00:00","B&K","false","false","333","29.96","ITM","0","GST","KG","100","19.58","0.505","KG","500","19.58","0.458","KG","1500","19.58","0.351","KG","3000","19.58","0.248","KG","5000","19.58","0.243","KG","10000","19.58","0.213","KG","999999","19.58","0.184","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
"222507","G","ADL","PTH","2023-04-27 00:00:00","B&K","false","false","333","41.46","ITM","0","GST","KG","100","16.12","0.46","KG","500","16.12","0.363","KG","1500","16.12","0.288","KG","3000","16.12","0.28","KG","5000","16.12","0.274","KG","10000","16.12","0.252","KG","999999","16.12","0.238","","0","0","0","","0","0","0","","0","0","0","FSNL","",""
